,assists,bountyLevel,champLevel,championName,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInSurrender,goldEarned,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,nexusKills,nexusTakedowns,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,puuid,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,summonerName,teamId,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,win,objectives.champion.first,objectives.champion.kills,objectives.inhibitor.first,objectives.inhibitor.kills,objectives.tower.first,objectives.tower.kills,gameDuration,timeStarted,minionDamage,assists_pm,damageDealtToBuildings_pm,deaths_pm,goldEarned_pm,kills_pm,magicDamageDealt_pm,magicDamageDealtToChampions_pm,magicDamageTaken_pm,minionDamage_pm,physicalDamageDealt_pm,physicalDamageDealtToChampions_pm,physicalDamageTaken_pm,spell1Casts_pm,spell2Casts_pm,spell3Casts_pm,spell4Casts_pm,totalDamageDealt_pm,totalDamageDealtToChampions_pm,totalDamageShieldedOnTeammates_pm,totalDamageTaken_pm,totalHeal_pm,totalHealsOnTeammates_pm,totalMinionsKilled_pm,totalTimeSpentDead_pm
0,19,0,18,Pyke,0,0,0,0,17949,9,True,False,False,False,False,15140,14150,0,0,2,3142,3158,6676,3814,3133,2052,3,8,2,2,186,0,0,14690,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8112, 'var1': 515, 'var2': 0, 'var3': 0}, {'perk': 8143, 'var1': 444, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 9111, 'var1': 719, 'var2': 270, 'var3': 0}, {'perk': 8014, 'var1': 198, 'var2': 0, 'var3': 0}], 'style': 8000}]}",29580,14514,10424,dDzFvTNhkplCX4PoXABcP0F4ARcxlNHrMByaf9LOC4DyG-T5UFJ7yuF5pbOtkgP1D1VXa4uMNKeCDg,71,53,45,19,5,4,8,14,559,Pachyclada,100,35,1237,32849,17783,0,26044,8331,0,13,214,3268,3268,929,0,0,4,False,True,60,False,0,False,1,20.6,1625616599000,15066,0.9,0.0,0.4,735.0,0.4,0.0,0.0,713.1,731.4,1435.9,704.6,506.0,3.4,2.6,2.2,0.9,1594.6,863.3,0.0,1264.3,404.4,0.0,0.6,10.4
1,38,0,18,Alistar,2,0,0,0,35117,13,True,False,False,False,False,12955,12650,0,0,2,3157,3165,4629,2031,3047,0,3,7,2,2,143,24724,13447,19102,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 1300, 'var2': 23, 'var3': 0}, {'perk': 8139, 'var1': 1345, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 995, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8210, 'var1': 28, 'var2': 0, 'var3': 0}, {'perk': 8236, 'var1': 48, 'var2': 0, 'var3': 0}], 'style': 8200}]}",4020,1865,14730,nge3WW3VSwvfQvp22QVhG7vp-nnohgPXf9bAgoRyhHoJDiyt5_CdKtdXQE_tQFdQOzigmAQasiJi8A,36,26,29,11,4,4,18,32,381,hypixel bedwars,100,64,1237,29720,15873,0,35821,15280,7748,12,306,975,560,1988,0,1,4,False,True,60,False,0,False,1,20.6,1625616599000,13847,1.8,0.0,0.6,628.9,0.3,1200.2,652.8,927.3,672.2,195.1,90.5,715.0,1.7,1.3,1.4,0.5,1442.7,770.5,0.0,1738.9,741.7,376.1,0.6,14.9
2,20,0,18,Twitch,2,810,810,810,10196,14,True,False,False,False,False,15991,14050,0,0,2,3006,2421,3115,3153,3085,2052,6,21,6,2,134,5374,2721,13035,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 9923, 'var1': 87, 'var2': 90, 'var3': 0}, {'perk': 8143, 'var1': 919, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 9111, 'var1': 797, 'var2': 410, 'var3': 0}, {'perk': 8014, 'var1': 926, 'var2': 0, 'var3': 0}], 'style': 8000}]}",63081,33390,12511,e5LW5vXGrIxwITJZeG7zOWU9g-BcNMFPeY_tonBJIbKbMfGX_HawVxx4zxutJ8DmxSzpmT16SxRlOQ,35,34,25,9,8,21,6,4,340,hypixel skywars,100,14,1237,83251,46491,0,26862,1395,0,47,342,14795,10379,1315,1,1,4,False,True,60,False,0,False,1,20.6,1625616599000,35950,1.0,39.3,0.7,776.3,1.0,260.9,132.1,632.8,1745.1,3062.2,1620.9,607.3,1.7,1.7,1.2,0.4,4041.3,2256.8,0.0,1304.0,67.7,0.0,2.3,16.6
3,26,0,18,Veigar,2,260,260,260,6833,10,False,True,False,False,False,16553,16900,0,0,2,3108,3020,3040,3089,3135,0,5,15,5,2,213,91648,27058,12013,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 2769, 'var2': 32, 'var3': 0}, {'perk': 8126, 'var1': 750, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8226, 'var1': 250, 'var2': 850, 'var3': 0}, {'perk': 8210, 'var1': 32, 'var2': 0, 'var3': 0}], 'style': 8200}]}",2272,558,8307,tL_KSF-u5JfmVkCC2qFOGpoIveZYLsRkj-4Y5pY2aFmzt0ieK-FpsziiYy9dvshB4QGI0Jd6mLbpnw,110,63,40,15,4,13,5,4,33,JohnKlmtUnion,100,39,1237,94579,28275,0,21972,893,0,86,220,658,658,1650,0,1,4,False,True,60,False,0,False,1,20.6,1625616599000,66044,1.3,12.6,0.5,803.5,0.7,4448.9,1313.5,583.2,3206.0,110.3,27.1,403.3,5.3,3.1,1.9,0.7,4591.2,1372.6,0.0,1066.6,43.3,0.0,4.2,10.7
4,30,0,18,Lissandra,2,1074,1074,1074,12135,10,True,False,False,False,False,13692,13400,0,0,2,3020,3157,6656,3102,3916,0,2,8,5,2,239,78710,26903,17562,0,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8439, 'var1': 633, 'var2': 0, 'var3': 0}, {'perk': 8463, 'var1': 2255, 'var2': 0, 'var3': 0}, {'perk': 8444, 'var1': 912, 'var2': 0, 'var3': 0}, {'perk': 8242, 'var1': 73, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}]}",4742,1086,9290,-30Z1tFWcWNessbg8YUZMEVj1k5CGu2ZzsyX4MjK62qzVO4X5ASHlOSAHJuKkMuo1G9hg1gpJUzItg,105,39,41,20,1,4,17,32,263,Sham Lee,100,76,1237,84388,28734,0,28079,3461,666,58,298,935,745,1226,0,1,4,False,True,60,False,0,False,1,20.6,1625616599000,54580,1.5,52.1,0.5,664.7,0.4,3820.9,1306.0,852.5,2649.5,230.2,52.7,451.0,5.1,1.9,2.0,1.0,4096.5,1394.9,0.0,1363.1,168.0,32.3,2.8,14.5
5,17,2,18,Khazix,1,2631,2631,2631,17933,11,False,False,True,False,False,16209,15200,2,2,0,3042,6691,3814,3111,3133,2052,6,19,5,3,203,605,605,11207,1,1,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 2051, 'var2': 29, 'var3': 0}, {'perk': 8143, 'var1': 863, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 2592, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 4220, 'var2': 0, 'var3': 0}, {'perk': 8017, 'var1': 768, 'var2': 0, 'var3': 0}], 'style': 8000}]}",67014,30149,9899,rMd2SqM8mSuhXC3gyAdx_kbiWqKXAZL-SZOaUZ7PO2a4_kAmGrqPaHcCNKeX8OCJy4HmW2QIIqoArA,84,66,50,32,5,4,29,32,210,gawr gura1,200,2,1237,68999,31899,0,24038,4732,0,51,272,1380,1145,2931,0,3,1,True,False,56,True,2,True,4,20.6,1625616599000,34469,0.8,127.7,0.5,786.8,0.9,29.4,29.4,544.0,1673.3,3253.1,1463.5,480.5,4.1,3.2,2.4,1.6,3349.5,1548.5,0.0,1166.9,229.7,0.0,2.5,13.2
6,28,0,18,Quinn,5,965,965,965,31239,12,False,False,True,False,False,12436,11400,0,1,0,3111,3065,6662,3067,3801,2052,1,3,2,1,158,2447,486,13827,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8124, 'var1': 427, 'var2': 0, 'var3': 0}, {'perk': 8143, 'var1': 374, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8105, 'var1': 13, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8236, 'var1': 28, 'var2': 0, 'var3': 0}, {'perk': 8234, 'var1': 8811, 'var2': 0, 'var3': 0}], 'style': 8200}]}",28333,15779,16064,XZUGeAqcLvXTGi4HlwqDgVhVgvtGu9KGzomSr89ewiP8XGzvEfW8_6HtRv_Ly9nRaqBlqU8uB9v69A,47,12,38,27,5,4,8,6,70,Only Åram Champs,200,45,1237,30780,16265,0,34290,5256,0,19,314,0,0,4399,0,2,1,True,False,56,True,2,True,4,20.6,1625616599000,13550,1.4,46.8,0.6,603.7,0.1,118.8,23.6,671.2,657.8,1375.4,766.0,779.8,2.3,0.6,1.8,1.3,1494.2,789.6,0.0,1664.6,255.1,0.0,0.9,15.2
7,21,0,17,Sylas,3,1109,1109,1109,28966,15,False,False,False,False,False,13080,13500,0,0,0,6656,4629,3111,3067,3211,2052,2,7,2,1,120,33924,19543,19425,0,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 441, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 611, 'var2': 280, 'var3': 0}, {'perk': 9104, 'var1': 7, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 399, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8143, 'var1': 682, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 1238, 'var2': 5, 'var3': 0}], 'style': 8100}]}",3511,328,17834,_c1_Wf4LkVLVnSbtkm5rVPYn4Y3FsvW7xENRHvui_lY4AnvzrxlS1dSgBoi2bF8WVoWcDiQ1U0r3ug,42,31,62,20,4,4,20,32,292,NLCrispers,200,30,1237,39836,20756,0,41684,8143,0,25,402,2400,885,4424,1,2,1,True,False,56,True,2,True,4,20.6,1625616599000,17971,1.0,53.8,0.7,635.0,0.3,1646.8,948.7,943.0,872.4,170.4,15.9,865.7,2.0,1.5,3.0,1.0,1933.8,1007.6,0.0,2023.5,395.3,0.0,1.2,19.5
8,35,0,18,Ahri,2,2242,2242,2242,10699,10,False,False,True,False,False,13777,12500,0,1,0,6656,4629,1058,3020,1058,2052,1,4,3,2,135,54232,19396,10800,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 1204, 'var2': 21, 'var3': 0}, {'perk': 8126, 'var1': 738, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 2500, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 4544, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 541, 'var2': 0, 'var3': 0}], 'style': 8000}]}",5848,1473,12842,C5KqyzQAjA8c-gOjRlF1EAL9E2OfdmARURDCqXaTcx3JlB6OptYdWD5mtLUaePoHLXrF1Sv89mYgSg,92,60,41,20,5,4,7,7,416,kwasny diesel,200,35,1237,85549,25951,0,26593,8116,918,52,252,25467,5080,2949,1,4,1,True,False,56,True,2,True,4,20.6,1625616599000,57356,1.7,108.8,0.5,668.8,0.2,2632.6,941.6,524.3,2784.3,283.9,71.5,623.4,4.5,2.9,2.0,1.0,4152.9,1259.8,0.0,1290.9,394.0,44.6,2.5,12.2
9,18,3,18,Katarina,1,2006,2006,2006,23653,12,False,False,False,False,False,17522,15635,0,1,0,3111,4636,3135,3089,1026,0,5,23,4,4,109,72981,36373,14870,0,1,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 2273, 'var2': 29, 'var3': 0}, {'perk': 8143, 'var1': 1207, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 2304, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 9111, 'var1': 1681, 'var2': 410, 'var3': 0}, {'perk': 8014, 'var1': 1133, 'var2': 0, 'var3': 0}], 'style': 8000}]}",2115,477,11849,JuRA5TgCcqafSScCp_Fr2tTsEtFjDpJionV51YzLctpo9GFzjCrehYj85J0KBiye8xIGftYB4p43lw,62,30,0,12,5,4,7,6,213,kwasny dieseI,200,0,1237,75097,36850,0,28626,4731,0,46,296,0,0,1906,2,2,1,True,False,56,True,2,True,4,20.6,1625616599000,36241,0.9,97.4,0.6,850.6,1.1,3542.8,1765.7,721.8,1759.3,102.7,23.2,575.2,3.0,1.5,0.0,0.6,3645.5,1788.8,0.0,1389.6,229.7,0.0,2.2,14.4
