,assists,bountyLevel,champLevel,championName,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInSurrender,goldEarned,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,nexusKills,nexusTakedowns,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,puuid,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,summonerName,teamId,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,win,objectives.champion.first,objectives.champion.kills,objectives.inhibitor.first,objectives.inhibitor.kills,objectives.tower.first,objectives.tower.kills,gameDuration,timeStarted,minionDamage,assists_pm,damageDealtToBuildings_pm,deaths_pm,goldEarned_pm,kills_pm,magicDamageDealt_pm,magicDamageDealtToChampions_pm,magicDamageTaken_pm,minionDamage_pm,physicalDamageDealt_pm,physicalDamageDealtToChampions_pm,physicalDamageTaken_pm,spell1Casts_pm,spell2Casts_pm,spell3Casts_pm,spell4Casts_pm,totalDamageDealt_pm,totalDamageDealtToChampions_pm,totalDamageShieldedOnTeammates_pm,totalDamageTaken_pm,totalHeal_pm,totalHealsOnTeammates_pm,totalMinionsKilled_pm,totalTimeSpentDead_pm
0,39,0,18,Ashe,2,1330,1330,1330,8130,14,False,False,False,False,True,15945,14950,0,1,1,6653,3158,6675,3074,3133,2052,2,10,2,2,180,16930,12216,18211,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 3636, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 731, 'var3': 0}, {'perk': 8210, 'var1': 51, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 877, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}]}",50300,24803,9219,HXx7NW-oJEJoPI8ybQQhdr3okf66jVhp1mJnhUcx_jKGfbOUFJ3aKlP7NbBGOVtBGsew1fO3mIG58w,6,129,26,28,7,4,7,3,316,WrozbitaMaciej00,100,86,1472,67506,37281,0,27990,1375,0,39,416,274,262,558,1,2,2,True,False,76,True,3,True,4,24.5,1632345321000,28895,1.6,54.3,0.6,650.8,0.4,691.0,498.6,743.3,1179.4,2053.1,1012.4,376.3,0.2,5.3,1.1,1.1,2755.3,1521.7,0.0,1142.4,56.1,0.0,1.6,17.0
1,30,0,18,Amumu,0,488,488,488,59524,13,False,False,False,False,True,15572,14100,0,3,1,3193,3001,4637,3111,3067,0,3,13,4,2,135,39699,21141,21893,0,0,"{'statPerks': {'defense': 5002, 'flex': 5002, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8439, 'var1': 1550, 'var2': 0, 'var3': 0}, {'perk': 8463, 'var1': 743, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 67, 'var2': 19, 'var3': 21}, {'perk': 8451, 'var1': 282, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8126, 'var1': 1262, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}]}",5488,2072,9648,60gHoiK_tG1RrPavkFZDoGRCOR9G45gWFtBB14LVbyT5iTkWeaz5BGPBDP2jxG1TvX1ia3y_40kv7A,64,64,50,12,36,32,6,4,222,TheSmilingDemon,100,70,1472,49748,27427,0,37133,828,347,26,384,4559,4213,5591,0,1,2,True,False,76,True,3,True,4,24.5,1632345321000,21833,1.2,19.9,0.5,635.6,0.5,1620.4,862.9,893.6,891.1,224.0,84.6,393.8,2.6,2.6,2.0,0.5,2030.5,1119.5,0.0,1515.6,33.8,14.2,1.1,15.7
2,34,11,18,Senna,3,4436,4436,4436,15618,7,False,False,False,True,True,22886,18260,2,2,1,3006,6672,3094,6676,3031,2052,7,30,11,3,263,3712,1458,19787,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 4354, 'var2': 47, 'var3': 0}, {'perk': 8139, 'var1': 2661, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 8296, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 9278, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 4, 'var2': 0, 'var3': 0}], 'style': 8000}]}",176734,54274,11466,gJF30VOrQMS2D707rK_9Lozg4wiT4p5m_OeMBK-n_Web1ZBVtJhbYXVz3qwifJczGWbFoKXgxbxceA,91,60,27,9,7,4,8,21,298,Lê Supplak,100,36,1472,192902,60064,1921,35292,21132,8421,129,210,12456,4330,4038,2,4,2,True,False,76,True,3,True,4,24.5,1632345321000,128402,1.4,181.1,0.3,934.1,1.2,151.5,59.5,807.6,5240.9,7213.6,2215.3,468.0,3.7,2.4,1.1,0.4,7873.6,2451.6,78.4,1440.5,862.5,343.7,5.3,8.6
3,33,0,18,Zac,0,59,59,59,76156,13,False,False,False,False,True,16365,16550,0,0,1,8001,3111,3083,3065,4401,2052,2,10,3,2,191,61928,23150,44712,0,0,"{'statPerks': {'defense': 5002, 'flex': 5003, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8437, 'var1': 2025, 'var2': 1513, 'var3': 0}, {'perk': 8446, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 67, 'var2': 16, 'var3': 20}, {'perk': 8451, 'var1': 323, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 9111, 'var1': 3891, 'var2': 430, 'var3': 0}, {'perk': 9105, 'var1': 5, 'var2': 10, 'var3': 0}], 'style': 8000}]}",6235,2706,24767,nOYAEuQzWloL2IwkCXcK_MZqa7hcSgFANcD3xqMFhp-gatrw40OXfQgs3twwdKhxf3APwJcznEBkLg,44,82,58,10,5,4,31,32,440,Luxurious   Supp,100,64,1472,74653,32246,0,84717,33211,0,47,324,6490,6389,15237,0,0,2,True,False,76,True,3,True,4,24.5,1632345321000,42348,1.3,2.4,0.5,668.0,0.4,2527.7,944.9,1825.0,1728.5,254.5,110.4,1010.9,1.8,3.3,2.4,0.4,3047.1,1316.2,0.0,3457.8,1355.6,0.0,1.9,13.2
4,27,0,18,Shaco,0,1898,1898,1898,14711,11,False,False,False,False,True,16200,14400,1,2,1,6653,4629,4637,3089,2420,2052,2,13,4,2,221,45697,23886,19041,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 1644, 'var2': 25, 'var3': 0}, {'perk': 8139, 'var1': 2185, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8236, 'var1': 80, 'var2': 0, 'var3': 0}, {'perk': 8210, 'var1': 10, 'var2': 0, 'var3': 0}], 'style': 8200}]}",1817,457,9068,Ngs_BcyzajpyvG30vbKxrhmoCAN1y5sQjo3SunL6a9t96PZxNQws3WQikULP8yGyvdmlWt-7SL08OQ,45,74,53,302,6,4,33,32,349,ABCDEFF15GØNEXT,100,37,1472,51912,25865,0,29332,3491,0,29,310,4396,1521,1221,1,1,2,True,False,76,True,3,True,4,24.5,1632345321000,24149,1.1,77.5,0.4,661.2,0.5,1865.2,974.9,777.2,985.7,74.2,18.7,370.1,1.8,3.0,2.2,12.3,2118.9,1055.7,0.0,1197.2,142.5,0.0,1.2,12.7
5,25,0,18,Azir,3,1854,1854,1854,24571,14,True,False,False,False,True,16128,14100,0,1,3,1058,3158,3916,3115,4633,2052,2,9,2,1,173,104294,22277,18431,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 477, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 4915, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 6, 'var2': 0, 'var3': 0}, {'perk': 8299, 'var1': 1023, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8139, 'var1': 1684, 'var2': 0, 'var3': 0}], 'style': 8100}]}",7977,1319,16737,2B_WuDsnfGWaiKxIPQAWfCVQ6RQW-SfyUR2Pwsnil3_CyC7MtsqhXHPOioq4e_urz2Bm-klUthln1A,56,165,15,10,5,4,26,32,138,Lectric,200,20,1472,122242,27835,0,37339,3517,0,71,396,9970,4239,2171,1,2,4,False,True,58,False,1,False,2,24.5,1632345321000,92553,1.0,75.7,0.6,658.3,0.4,4256.9,909.3,752.3,3777.7,325.6,53.8,683.1,2.3,6.7,0.6,0.4,4989.5,1136.1,0.0,1524.0,143.6,0.0,2.9,16.2
6,15,0,18,Fizz,3,298,298,298,25766,18,False,False,False,False,True,14678,13900,1,1,3,3157,3020,3135,3100,1058,2052,2,13,2,2,168,36592,22446,17053,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 1831, 'var2': 31, 'var3': 0}, {'perk': 8126, 'var1': 840, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 8, 'var2': 0, 'var3': 0}, {'perk': 8236, 'var1': 80, 'var2': 0, 'var3': 0}], 'style': 8200}]}",6556,3159,17054,nVP_a8kFqk6Evm3s7tUR2jGNFtkr-0R_mN7JGItDE1YydnPJcxhoj2mM6Sfquxc7raimy86z0xS6SQ,44,22,64,17,5,4,31,32,345,Älestorm,200,16,1472,45716,27852,0,37268,1901,0,11,466,2568,2246,3160,0,1,4,False,True,58,False,1,False,2,24.5,1632345321000,17566,0.6,12.2,0.7,599.1,0.5,1493.6,916.2,696.0,717.0,267.6,128.9,696.1,1.8,0.9,2.6,0.7,1866.0,1136.8,0.0,1521.1,77.6,0.0,0.4,19.0
7,23,0,18,Corki,3,580,580,580,20781,12,False,True,False,False,True,16710,16700,0,0,3,3020,3135,3165,3102,3089,2052,3,10,3,2,182,86301,38827,9972,0,0,"{'statPerks': {'defense': 5003, 'flex': 5002, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 3222, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 473, 'var3': 0}, {'perk': 8210, 'var1': 33, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 958, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 6330, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 1164, 'var2': 0, 'var3': 0}], 'style': 8000}]}",4035,865,12436,l3_DcJR8PLTbBDUYMMnbHHIywwYRs33NJpCmEehQx-aLgCyrRgOD8frA0cPT_-XZJOWGVEUEff1TIg,77,40,47,135,6,4,10,21,304,Neo is online,200,1,1472,92285,40125,0,24576,1513,0,54,388,1948,433,2166,0,2,4,False,True,58,False,1,False,2,24.5,1632345321000,51580,0.9,23.7,0.5,682.0,0.4,3522.5,1584.8,407.0,2105.3,164.7,35.3,507.6,3.1,1.6,1.9,5.5,3766.7,1637.8,0.0,1003.1,61.8,0.0,2.2,15.8
8,18,0,18,Ryze,4,905,905,905,30060,17,True,False,False,False,True,17916,17600,0,0,3,4629,3040,6655,3020,3135,0,3,15,3,3,109,167927,39605,20123,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8230, 'var1': 19, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 1502, 'var3': 0}, {'perk': 8210, 'var1': 16, 'var2': 0, 'var3': 0}, {'perk': 8236, 'var1': 80, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8139, 'var1': 2164, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 7497, 'var2': 5, 'var3': 0}], 'style': 8100}]}",3941,1296,26016,DlhuBJXWHYHJcaxPABYkq-1RDg_eRea3ZNXtcIwfAIzjFtZg9Egs4XCVFzBhMO6vv0x7oZs2eRnVgw,240,82,234,8,10,6,8,4,233,Mortal Combine,200,9,1472,174760,43446,0,48562,2681,0,102,470,2891,2545,2422,1,1,4,False,True,58,False,1,False,2,24.5,1632345321000,130409,0.7,36.9,0.7,731.3,0.6,6854.2,1616.5,821.3,5322.8,160.9,52.9,1061.9,9.8,3.3,9.6,0.3,7133.1,1773.3,0.0,1982.1,109.4,0.0,4.2,19.2
9,27,0,18,Jinx,2,1520,1520,1520,28072,15,True,False,False,False,True,15636,14150,0,1,3,3006,3072,3031,3155,3035,0,4,11,2,2,132,989,490,16272,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 2, 'var2': 50, 'var3': 0}, {'perk': 8009, 'var1': 2888, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 7, 'var2': 50, 'var3': 0}, {'perk': 8014, 'var1': 883, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8139, 'var1': 1509, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 3278, 'var2': 5, 'var3': 0}], 'style': 8100}]}",85753,29128,18637,6Lr1PWiKLr87-d4ehW3g5Cd62r0LqWuRSQDqTpKxX0Lj3kxJeJhXMUHzcJBjBRl5ruF8ivOEr5tDMg,66,53,21,9,7,4,6,3,288,geok14,200,20,1472,94938,32202,0,37603,2110,0,53,448,8194,2583,2693,0,2,4,False,True,58,False,1,False,2,24.5,1632345321000,61216,1.1,62.0,0.6,638.2,0.4,40.4,20.0,664.2,2498.6,3500.1,1188.9,760.7,2.7,2.2,0.9,0.4,3875.0,1314.4,0.0,1534.8,86.1,0.0,2.2,18.3
