,assists,bountyLevel,champLevel,championName,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInSurrender,goldEarned,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,nexusKills,nexusTakedowns,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,puuid,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,summonerName,teamId,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,win,objectives.champion.first,objectives.champion.kills,objectives.inhibitor.first,objectives.inhibitor.kills,objectives.tower.first,objectives.tower.kills,gameDuration,minionDamage,assists_pm,damageDealtToBuildings_pm,deaths_pm,goldEarned_pm,kills_pm,magicDamageDealt_pm,magicDamageDealtToChampions_pm,magicDamageTaken_pm,minionDamage_pm,physicalDamageDealt_pm,physicalDamageDealtToChampions_pm,physicalDamageTaken_pm,spell1Casts_pm,spell2Casts_pm,spell3Casts_pm,spell4Casts_pm,totalDamageDealt_pm,totalDamageDealtToChampions_pm,totalDamageShieldedOnTeammates_pm,totalDamageTaken_pm,totalHeal_pm,totalHealsOnTeammates_pm,totalMinionsKilled_pm,totalTimeSpentDead_pm
0,11,0,17,Jax,0,1389,1389,1389,18320,6,False,False,True,False,False,12782,12550,0,1,1,3111,3153,3053,6632,1029,2052,3,11,6,3,387,8522,2464,8213,0,0,"{'statPerks': {'defense': 5001, 'flex': 5003, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 272, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 1773, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 9, 'var2': 40, 'var3': 0}, {'perk': 8014, 'var1': 411, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8135, 'var1': 1792, 'var2': 5, 'var3': 0}, {'perk': 8143, 'var1': 281, 'var2': 0, 'var3': 0}], 'style': 8100}]}",28928,7965,13279,2vGj8_Cf13d0GRaLO--cvpq6TqoRaPF6p-X4HzgW00vtKJSsFPy4OAtHQk8ppg_O9ZTRGHsBGCbbmw,26,53,21,7,16,32,4,4,472,AliensHireZilean,100,14,1096,38281,11260,0,22831,4673,0,33,100,830,830,1339,0,2,4,False,False,36,True,1,True,2,18.3,25632,0.6,75.9,0.3,698.5,0.6,465.7,134.6,448.8,1400.7,1580.8,435.2,725.6,1.4,2.9,1.1,0.4,2091.9,615.3,0.0,1247.6,255.4,0.0,1.8,5.5
1,23,0,14,Thresh,0,61,61,61,18472,5,False,False,False,True,False,10869,11965,0,0,1,3083,1011,1006,3076,3111,2052,1,4,3,2,252,11473,5565,8887,0,0,"{'statPerks': {'defense': 5001, 'flex': 5002, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8439, 'var1': 268, 'var2': 0, 'var3': 0}, {'perk': 8446, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8473, 'var1': 280, 'var2': 0, 'var3': 0}, {'perk': 8451, 'var1': 206, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 1644, 'var2': 0, 'var3': 0}, {'perk': 9105, 'var1': 6, 'var2': 20, 'var3': 0}], 'style': 8000}]}",4877,1102,7989,HZUpYBr0KHGVbLDeRterVEW5X82f-YxNVZuG2zg-XN7oQ0aNfJHpIC1-Jtctos2XfHptn4LjcGNL_A,30,14,15,4,4,4,13,32,346,i lead,100,31,1096,16956,7162,2075,17918,770,0,19,124,605,495,1041,1,1,4,False,False,36,True,1,True,2,18.3,9733,1.3,3.3,0.3,593.9,0.2,626.9,304.1,485.6,531.9,266.5,60.2,436.6,1.6,0.8,0.8,0.2,926.6,391.4,113.4,979.1,42.1,0.0,1.0,6.8
2,19,0,16,Gwen,2,1256,1256,1256,18112,8,False,False,True,False,False,11054,10800,0,0,1,2033,3111,3065,3115,0,0,0,5,0,1,224,11416,4649,8056,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 109, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 1539, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 9, 'var2': 40, 'var3': 0}, {'perk': 8014, 'var1': 202, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8135, 'var1': 917, 'var2': 5, 'var3': 0}, {'perk': 8139, 'var1': 744, 'var2': 0, 'var3': 0}], 'style': 8100}]}",8760,1746,11674,N1sRWWKFkPEbO4LZRgHusmsGHV8inmoFKZjHCoo_XRWUBvHTk6r2Hk7UDNHsp1qIlEg8r9BluSXNWw,23,16,33,18,4,4,17,32,297,8Ergo Proxy8,100,6,1096,23329,8092,0,23633,4047,0,23,186,3152,1696,3902,0,1,4,False,False,36,True,1,True,2,18.3,13981,1.0,68.6,0.4,604.0,0.3,623.8,254.0,440.2,764.0,478.7,95.4,637.9,1.3,0.9,1.8,1.0,1274.8,442.2,0.0,1291.4,221.1,0.0,1.3,10.2
3,15,0,16,Neeko,2,1131,1131,1131,6437,6,False,False,True,False,False,13039,12250,0,0,1,4628,3020,3089,4630,0,2052,4,12,4,2,215,84528,31615,4586,0,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 1370, 'var2': 20, 'var3': 0}, {'perk': 8126, 'var1': 633, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8237, 'var1': 405, 'var2': 0, 'var3': 0}, {'perk': 8233, 'var1': 8, 'var2': 20, 'var3': 0}], 'style': 8200}]}",2528,653,6807,nIuaq8M_iSXKYx20mypLd6EdO9tYVMP6xIPjHl-mZieKxYDWss-c_ElmU7cj66x47Ze3232V3GW5nQ,63,24,39,8,22,32,3,4,588,OneShotEmpress,100,67,1096,93714,34201,0,11858,655,0,77,122,6656,1931,464,0,2,4,False,False,36,True,1,True,2,18.3,58382,0.8,61.8,0.3,712.5,0.7,4619.0,1727.6,250.6,3190.3,138.1,35.7,372.0,3.4,1.3,2.1,0.4,5121.0,1868.9,0.0,648.0,35.8,0.0,4.2,6.7
4,24,0,16,Heimerdinger,2,1481,1481,1481,4128,9,False,False,True,False,False,11380,10985,1,1,1,2420,3165,4637,3020,1052,2052,0,4,0,1,186,73463,26995,6582,0,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 2317, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 842, 'var3': 0}, {'perk': 8210, 'var1': 11, 'var2': 0, 'var3': 0}, {'perk': 8236, 'var1': 48, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8105, 'var1': 13, 'var2': 5, 'var3': 0}], 'style': 8100}]}",1898,240,7835,PYckg4Y4M1oE9u5GZ_B22s-yzQ9SS2LtfJDIDOWcc4j_DVXP0xuNrcin6meFgRlS6Hv6_PPWzqDBVw,67,93,38,6,3,4,2,13,149,KwiceQ,100,22,1096,75361,27236,0,14843,269,0,48,226,0,0,426,1,2,4,False,False,36,True,1,True,2,18.3,46644,1.3,80.9,0.5,621.9,0.2,4014.4,1475.1,359.7,2548.9,103.7,13.1,428.1,3.7,5.1,2.1,0.3,4118.1,1488.3,0.0,811.1,14.7,0.0,2.6,12.3
5,9,1,16,Garen,0,2923,2923,2923,18559,5,True,False,False,False,False,12736,9350,0,1,1,6631,3742,3211,3067,0,0,1,5,2,2,245,0,0,12633,0,1,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 469, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 424, 'var2': 140, 'var3': 0}, {'perk': 9103, 'var1': 17, 'var2': 40, 'var3': 0}, {'perk': 8017, 'var1': 236, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8463, 'var1': 303, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 56, 'var2': 18, 'var3': 16}], 'style': 8400}]}",45709,5868,3430,DoN2dIDFZGpzEUig5zjz1Hsmv-ikuwKZmTSspuAciFhZDE5gx1pisdGcNprZUZGQ5zQ4SxrrPEhFqw,49,27,33,4,4,4,6,14,195,Medve3,200,11,1096,49643,9802,0,16879,1352,52,59,110,3933,3933,815,1,4,2,True,True,34,False,1,False,4,18.3,36918,0.5,159.7,0.3,696.0,0.3,0.0,0.0,690.3,2017.4,2497.8,320.7,187.4,2.7,1.5,1.8,0.2,2712.7,535.6,0.0,922.3,73.9,2.8,3.2,6.0
6,22,0,16,Gragas,0,918,918,918,17433,9,True,False,False,False,False,11141,8035,0,1,1,3157,3020,1052,3057,0,2052,0,2,0,1,113,31493,13600,17082,0,1,"{'statPerks': {'defense': 5003, 'flex': 5002, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8439, 'var1': 135, 'var2': 0, 'var3': 0}, {'perk': 8463, 'var1': 762, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 56, 'var2': 17, 'var3': 12}, {'perk': 8453, 'var1': 735, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8126, 'var1': 591, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 699, 'var2': 5, 'var3': 0}], 'style': 8100}]}",3792,1276,4488,GxSS-n41QC4lK82klXcUV3KP4fTfDtkU-vxsCP9V6nqBRmtDSi_3LD5lvc6mmUDw58wvWEVRA4YywA,105,57,23,7,4,4,22,32,324,AramBoy,200,46,1096,36757,16103,0,22988,7704,187,16,194,1470,1225,1416,0,3,2,True,True,34,False,1,False,4,18.3,19736,1.2,50.2,0.5,608.8,0.1,1720.9,743.2,933.4,1078.5,207.2,69.7,245.2,5.7,3.1,1.3,0.4,2008.6,879.9,0.0,1256.2,421.0,10.2,0.9,10.6
7,15,2,16,Nocturne,0,2046,2046,2046,11231,9,True,False,False,False,False,12481,9200,0,0,1,3111,6676,3134,3070,1028,2052,3,9,2,2,183,606,606,11587,0,1,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 1, 'var2': 40, 'var3': 0}, {'perk': 8009, 'var1': 2257, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 7, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 601, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8143, 'var1': 301, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}]}",53790,18049,4266,oE0ziwprOPWTIcBgYYyL3TpfwABFuPWvbLWTKfLXpdAltBE6YlDesT7lCdwVdfKzIOpLQe7xas3Vzw,66,17,13,12,12,32,2,4,245,Mafla Jinx,200,97,1096,54978,19052,0,17287,2550,0,26,206,580,395,1433,1,3,2,True,True,34,False,1,False,4,18.3,33880,0.8,111.8,0.5,682.0,0.5,33.1,33.1,633.2,1851.4,2939.3,986.3,233.1,3.6,0.9,0.7,0.7,3004.3,1041.1,0.0,944.6,139.3,0.0,1.4,11.3
8,11,0,15,Lillia,2,1049,1049,1049,5599,8,False,True,False,False,False,11413,9535,1,1,1,4628,3020,3108,1052,3067,2052,1,6,2,2,194,40291,21476,11954,1,1,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 2425, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 101, 'var3': 0}, {'perk': 8210, 'var1': 14, 'var2': 0, 'var3': 0}, {'perk': 8236, 'var1': 48, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 1971, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 447, 'var2': 0, 'var3': 0}], 'style': 8000}]}",2396,348,3459,BSjg-3U3qKY6oOAwLKuyGS3XnW1384fXljRlO7dRLhlvozqUmPvd69Z9pOpW0ckyLf-53W3ApofsKw,42,15,50,6,1,4,17,32,221,call me Rose,200,29,1096,49407,23443,0,15882,3581,0,33,180,6720,1618,468,2,2,2,True,True,34,False,1,False,4,18.3,24915,0.6,57.3,0.4,623.7,0.3,2201.7,1173.6,653.2,1361.5,130.9,19.0,189.0,2.3,0.8,2.7,0.3,2699.8,1281.0,0.0,867.9,195.7,0.0,1.8,9.8
9,14,1,17,Graves,2,3152,3152,3152,14136,5,True,False,False,False,False,13997,10100,0,1,1,6673,3072,3006,3184,3134,2052,2,10,4,3,313,1007,641,18032,0,1,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 961, 'var2': 20, 'var3': 0}, {'perk': 8139, 'var1': 1065, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 2703, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8014, 'var1': 560, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 622, 'var2': 240, 'var3': 0}], 'style': 8000}]}",116358,15761,3066,QRbY_hnCIUAyNJhdpbW6Y9bWIPPygitoWrqTQxIyFPBseNpWl0mTrgzGEh4IJq_Up5EsuxbEMrBvqA,56,21,20,6,4,4,4,21,428,Highly Religious,200,17,1096,117366,16402,0,21917,4698,0,92,110,0,0,818,0,4,2,True,True,34,False,1,False,4,18.3,97812,0.8,172.2,0.3,764.9,0.5,55.0,35.0,985.4,5344.9,6358.4,861.3,167.5,3.1,1.1,1.1,0.3,6413.4,896.3,0.0,1197.7,256.7,0.0,5.0,6.0
